005, 256, 224,V,R, 810, 1080, 768, 1024, 3, 4, 60
1941, 384, 224,V,R, 810, 1080, 576, 768, 3, 4, 60
1941j, 384, 224,V,R, 810, 1080, 576, 768, 3, 4, 60
1942, 256, 224,V,R, 810, 1080, 768, 1024, 3, 4, 60
1942a, 256, 224,V,R, 810, 1080, 768, 1024, 3, 4, 60
1942b, 256, 224,V,R, 810, 1080, 768, 1024, 3, 4, 60
1943, 256, 224,V,R, 810, 1080, 768, 1024, 3, 4, 60
1943j, 256, 224,V,R, 810, 1080, 768, 1024, 3, 4, 60
1943kai, 256, 224,V,R, 810, 1080, 768, 1024, 3, 4, 60
1944, 384, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 59.633331
1944j, 384, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 59.633331
19xx, 384, 224,V,R, 810, 1080, 576, 768, 3, 4, 59.633331
19xxa, 384, 224,V,R, 810, 1080, 576, 768, 3, 4, 59.633331
19xxh, 384, 224,V,R, 810, 1080, 576, 768, 3, 4, 59.633331
19xxj, 384, 224,V,R, 810, 1080, 576, 768, 3, 4, 59.633331
19xxjr1, 384, 224,V,R, 810, 1080, 576, 768, 3, 4, 59.633331
2020bb, 320, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
2020bbh, 320, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
280zzzap, 260, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
3countb, 320, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
3in1semi, 256, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 57.5
3kokushi, 320, 240,H,R, 1440, 1080, 1280, 960, 4, 3, 60
3stooges, 256, 240,H,R, 1440, 1080, 1280, 960, 4, 3, 61
3wonders, 384, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
3wonderu, 384, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
40love, 256, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
47pie2, 320, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
47pie2o, 320, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
4dwarrio, 512, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
4enraya, 256, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
4in1, 256, 224,V,R, 810, 1080, 768, 1024, 3, 4, 60.60606
4in1boot, 256, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 57.5
600, 768, 224,V,R, 810, 1080, 576, 768, 3, 4, 60.60606
64streej, 256, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
64street, 256, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
720, 512, 384,H,R, 1440, 1080, 1024, 768, 4, 3, 60
720g, 512, 384,H,R, 1440, 1080, 1024, 768, 4, 3, 60
720gr1, 512, 384,H,R, 1440, 1080, 1024, 768, 4, 3, 60
720r1, 512, 384,H,R, 1440, 1080, 1024, 768, 4, 3, 60
720r2, 512, 384,H,R, 1440, 1080, 1024, 768, 4, 3, 60
720r3, 512, 384,H,R, 1440, 1080, 1024, 768, 4, 3, 60
7jigen, 508, 240,H,R, 1440, 1080, 1280, 960, 4, 3, 60
7toitsu, 384, 240,H,R, 1440, 1080, 1280, 960, 4, 3, 60
800fath, 256, 224,V,R, 810, 1080, 768, 1024, 3, 4, 60.60606
88games, 320, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
8ball, 240, 248,V,R, 810, 1080, 744, 992, 3, 4, 60
8ball1, 240, 248,V,R, 810, 1080, 744, 992, 3, 4, 60
8ballact, 256, 224,V,R, 810, 1080, 768, 1024, 3, 4, 60
8ballat2, 256, 224,V,R, 810, 1080, 768, 1024, 3, 4, 60
8bpm, 256, 224,V,R, 810, 1080, 768, 1024, 3, 4, 60.60606
99lstwar, 288, 224,V,R, 810, 1080, 648, 864, 3, 4, 60
99lstwra, 288, 224,V,R, 810, 1080, 648, 864, 3, 4, 60
9ballsh2, 320, 240,H,R, 1440, 1080, 1280, 960, 4, 3, 60
9ballsh3, 320, 240,H,R, 1440, 1080, 1280, 960, 4, 3, 60
9ballsht, 320, 240,H,R, 1440, 1080, 1280, 960, 4, 3, 60
a51mxr3k, 360, 240,H,R, 1440, 1080, 1280, 960, 4, 3, 60
aafb, 320, 240,V,R, 810, 1080, 720, 960, 3, 4, 60
aafbb, 320, 240,V,R, 810, 1080, 720, 960, 3, 4, 60
aafbc, 320, 240,V,R, 810, 1080, 720, 960, 3, 4, 60
aafbd2p, 320, 240,V,R, 810, 1080, 720, 960, 3, 4, 60
abaseb, 304, 240,H,R, 1440, 1080, 1280, 960, 4, 3, 60
abaseb2, 304, 240,H,R, 1440, 1080, 1280, 960, 4, 3, 60
aburner, 320, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
aburner2, 320, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
ace, 336, 304,H,R, 1440, 1080, 1216, 912, 4, 3, 60
aceattac, 320, 224,V,R, 810, 1080, 720, 960, 4, 3, 60
acedrvrw, 640, 480,H,R, 1440, 1080, 1280, 960, 4, 3, 60
acitya, 288, 224,V,R, 810, 1080, 648, 864, 3, 4, 60.60606
acrobatm, 256, 224,V,R, 810, 1080, 768, 1024, 3, 4, 60
actfanc1, 256, 240,H,R, 1440, 1080, 1280, 960, 4, 3, 60
actfancj, 256, 240,H,R, 1440, 1080, 1280, 960, 4, 3, 60
actfancr, 256, 240,H,R, 1440, 1080, 1280, 960, 4, 3, 60
aeroboto, 248, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
aerofgt, 320, 224,V,R, 810, 1080, 720, 960, 3, 4, 60
aerofgtb, 320, 224,V,R, 810, 1080, 720, 960, 3, 4, 60
aerofgtc, 320, 224,V,R, 810, 1080, 720, 960, 3, 4, 60
afighter, 320, 224,V,R, 810, 1080, 720, 960, 4, 3, 60
agallet, 320, 240,V,R, 810, 1080, 720, 960, 3, 4, 57.550644
ainferno, 512, 400,H,R, 1440, 1080, 1066, 800, 4, 3, 60
airbustj, 256, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
airbustr, 256, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
airco22b, 640, 480,H,R, 1440, 1080, 1280, 960, 4, 3, 60
aircombj, 496, 480,H,R, 1440, 1080, 1280, 960, 4, 3, 60
aircombu, 496, 480,H,R, 1440, 1080, 1280, 960, 4, 3, 60
airduel, 384, 256,V,R, 810, 1080, 576, 768, 3, 4, 55
airraid, 256, 224,V,R, 810, 1080, 768, 1024, 3, 4, 60
airwolf, 288, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
ajax, 304, 224,V,R, 810, 1080, 684, 912, 3, 4, 60
ajaxj, 304, 224,V,R, 810, 1080, 684, 912, 3, 4, 60
akiss, 320, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
akkanvdr, 320, 224,V,R, 810, 1080, 720, 960, 3, 4, 60
alcon, 280, 240,V,R, 810, 1080, 630, 840, 3, 4, 60
alexkida, 320, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
alexkidd, 320, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
alibaba, 288, 224,V,R, 810, 1080, 648, 864, 3, 4, 60.60606
alien3, 416, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
alieninv, 260, 224,V,R, 810, 1080, 780, 1040, 3, 4, 60
aliens, 288, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
aliens2, 288, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
aliensj, 288, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
aliensu, 288, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
aliensya, 320, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
aliensyb, 320, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
aliensyj, 320, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
aliensyn, 320, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
aligator, 320, 240,H,R, 1440, 1080, 1280, 960, 4, 3, 59.099998
aligatun, 320, 240,H,R, 1440, 1080, 1280, 960, 4, 3, 59.099998
alleymas, 320, 240,V,R, 810, 1080, 720, 960, 3, 4, 60
alphaho, 256, 224,V,R, 810, 1080, 768, 1024, 3, 4, 60
alpham2, 320, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
alphaona, 0, 0,H,V, 0, 0, 0, 0, 4, 3, 50
alphaone, 0, 0,H,V, 0, 0, 0, 0, 4, 3, 50
alphaxz, 256, 224,V,R, 810, 1080, 768, 1024, 3, 4, 60
alpine, 256, 224,V,R, 810, 1080, 768, 1024, 3, 4, 60
alpinea, 256, 224,V,R, 810, 1080, 768, 1024, 3, 4, 60
alpinerc, 640, 480,H,R, 1440, 1080, 1280, 960, 4, 3, 60
alpinerd, 640, 480,H,R, 1440, 1080, 1280, 960, 4, 3, 60
altbeas2, 320, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
altbeast, 320, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
amatelas, 256, 224,V,R, 810, 1080, 768, 1024, 3, 4, 60
amazon, 256, 224,V,R, 810, 1080, 768, 1024, 3, 4, 60
ambush, 256, 222,H,R, 1440, 1080, 1184, 888, 4, 3, 60
ambusht, 256, 222,H,R, 1440, 1080, 1184, 888, 4, 3, 60
amerdart, 322, 241,H,R, 1440, 1080, 1285, 964, 4, 3, 60
amidar, 768, 224,V,R, 810, 1080, 576, 768, 3, 4, 60.60606
amidaro, 768, 224,V,R, 810, 1080, 576, 768, 3, 4, 60.60606
amidars, 768, 224,V,R, 810, 1080, 576, 768, 3, 4, 60.60606
amidaru, 768, 224,V,R, 810, 1080, 576, 768, 3, 4, 60.60606
amigo, 768, 224,V,R, 810, 1080, 576, 768, 3, 4, 60.60606
amspdwy, 256, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
amspdwya, 256, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
androdun, 320, 224,H,R, 1440, 1080, 1196, 896, 4, 3, 60
andromed, 240, 224,V,R, 810, 1080, 720, 960, 3, 4, 60
angelkds, 256, 240,V,R, 810, 1080, 768, 1024, 3, 4, 60
