1941, 384, 224,V,R, 810, 1080, 576, 768, 3, 4
1941j, 384, 224,V,R, 810, 1080, 576, 768, 3, 4
1941r1, 384, 224,V,R, 810, 1080, 576, 768, 3, 4
1941u, 384, 224,V,R, 810, 1080, 576, 768, 3, 4
1942, 256, 224,V,R, 810, 1080, 768, 1024, 3, 4
1942a, 256, 224,V,R, 810, 1080, 768, 1024, 3, 4
1942abl, 256, 224,V,R, 810, 1080, 768, 1024, 3, 4
1942b, 256, 224,V,R, 810, 1080, 768, 1024, 3, 4
1942h, 256, 224,V,R, 810, 1080, 768, 1024, 3, 4
1942w, 256, 224,V,R, 810, 1080, 768, 1024, 3, 4
1943, 256, 224,V,R, 810, 1080, 768, 1024, 3, 4
1943b, 256, 224,V,R, 810, 1080, 768, 1024, 3, 4
1943b2, 256, 224,V,R, 810, 1080, 768, 1024, 3, 4
1943bj, 256, 224,V,R, 810, 1080, 768, 1024, 3, 4
1943j, 256, 224,V,R, 810, 1080, 768, 1024, 3, 4
1943ja, 256, 224,V,R, 810, 1080, 768, 1024, 3, 4
1943ja2, 256, 224,V,R, 810, 1080, 768, 1024, 3, 4
1943kai, 256, 224,V,R, 810, 1080, 768, 1024, 3, 4
1943mii, 256, 224,V,R, 810, 1080, 768, 1024, 3, 4
1943u, 256, 224,V,R, 810, 1080, 768, 1024, 3, 4
1943ua, 256, 224,V,R, 810, 1080, 768, 1024, 3, 4
1944, 384, 224,H,R, 1440, 1080, 1196, 896, 3, 4
1944ad, 384, 224,H,R, 1440, 1080, 1196, 896, 4, 3
1944d, 384, 224,H,R, 1440, 1080, 1196, 896, 4, 3
1944j, 384, 224,H,R, 1440, 1080, 1196, 896, 4, 3
1945kiii, 320, 224,V,R, 810, 1080, 720, 960, 3, 4
1945kiiio, 320, 224,V,R, 810, 1080, 720, 960, 3, 4
19xx, 384, 224,V,R, 810, 1080, 576, 768, 3, 4
19xxa, 384, 224,V,R, 810, 1080, 576, 768, 3, 4
19xxar1, 384, 224,V,R, 810, 1080, 576, 768, 3, 4
19xxb, 384, 224,V,R, 810, 1080, 576, 768, 3, 4
19xxd, 384, 224,V,R, 810, 1080, 576, 768, 3, 4
19xxh, 384, 224,V,R, 810, 1080, 576, 768, 3, 4
19xxj, 384, 224,V,R, 810, 1080, 576, 768, 3, 4
19xxjr1, 384, 224,V,R, 810, 1080, 576, 768, 3, 4
19xxjr2, 384, 224,V,R, 810, 1080, 576, 768, 3, 4
2020bb, 320, 224,H,R, 1440, 1080, 1196, 896, 4, 3
2020bba, 320, 224,H,R, 1440, 1080, 1196, 896, 4, 3
2020bbh, 320, 224,H,R, 1440, 1080, 1196, 896, 4, 3
3countb, 320, 224,H,R, 1440, 1080, 1196, 896, 4, 3
3countba, 320, 224,H,R, 1440, 1080, 1196, 896, 4, 3
3in1semi, 256, 224,H,R, 1440, 1080, 1196, 896, 4, 3
3wonders, 384, 224,H,R, 1440, 1080, 1196, 896, 4, 3
3wondersb, 384, 224,H,R, 1440, 1080, 1196, 896, 4, 3
3wondersh, 384, 224,H,R, 1440, 1080, 1196, 896, 4, 3
3wondersr1, 384, 224,H,R, 1440, 1080, 1196, 896, 4, 3
3wondersu, 384, 224,H,R, 1440, 1080, 1196, 896, 4, 3
